Country Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
CHN,,,,,,,,,,2.447101315,2.454016116,2.311243412,2.449542068,1.928066874,1.693479599,1.686233887,1.65272667,1.632650673,1.655080691,1.871465914,1.835759685,1.983086244,2.059364653,1.996288936,1.938508233,1.871858023,1.869591636,1.750164585,1.716042546,1.893523796,1.733519862
CIV,1.164286711,1.091036048,1.142167706,1.115046625,1.025590419,0.996969504,1.05352867,1.217098753,1.249140612,1.330374658,0.964774733,0.994003863,1.017086803,0.973500965,0.731597908,,0.611814464,0.577204483,,,,,,1.006751824,1.096073443,1.058065308,1.086579561,1.150833029,1.101704681,1.251735726,1.127105101
CMR,1.555817726,1.818915609,1.990519146,1.890684084,1.740219092,1.339835729,1.217823458,1.250025497,1.284796155,1.333689155,1.474566613,1.514551699,1.532605614,1.326124551,1.310340092,1.251644839,1.224837883,1.301241746,1.396509438,1.443852391,1.324748865,1.290360035,1.338506756,1.383806998,1.401603832,1.143900624,1.229793943,1.241592993,1.255590741,1.233834189,1.288375177
COD,,,,,,,,,,,,,,5.226085685,,,1.546801091,1.410851124,0.428454161,1.158150664,0.220260773,,,0.880645711,1.336604385,1.380795458,1.419205358,1.226124287,0.808542544,0.656239765,0.851731339
COG,3.365982242,3.187096179,3.345045678,,2.253103808,2.575195715,,4.374167391,,,,,3.829288608,3.644869108,,,,,,,,1.792224541,2.123352384,2.432293399,2.440179903,1.518137941,1.569342919,1.916288944,1.79027941,,1.662590448
COL,1.830121649,1.755120362,1.713850959,2.219937527,2.325894964,2.054016609,1.944619591,1.983135416,2.199244755,2.188183807,1.8601593,1.853481783,2.106677943,2.525267018,2.508407013,2.831626581,4.445393254,2.801787886,3.440985742,3.762742058,3.031683539,3.323872819,3.417127624,3.463988691,3.465015174,3.374679694,3.295824991,3.286301709,3.737246986,3.886963837,3.636915046
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,,,,,2.792398965,2.463444386,2.335531481,2.103676174,1.913885606,,,,0.992592471,0.756580531,0.838878589,1.265080851,0.84417531,0.831007455,0.858540442,0.838543201,1.154025913,0.753615197,0.66548029,0.648753559,0.630978438,0.649497233,0.564741208,0.524703169,0.601269382,0.490877611,0.495061947
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.380960052,3.326856112
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYP,,,,,,1.270291696,1.577157899,5.391477698,5.700256029,5.369355098,7.374035613,7.264776122,9.129286044,4.074952605,4.023989196,3.041034215,4.524714829,5.57391077,4.676317946,2.73385097,2.822090151,3.153222159,2.130160735,1.985163124,1.955769162,2.037469743,1.899997863,1.684599658,1.629704944,1.816819508,1.852924551
CZE,,,,,,,,,,,,,,2.330404066,2.283400858,1.843622773,1.731904688,1.662045791,1.82593182,1.859069923,1.877356956,1.751249558,1.824406968,1.892764044,1.713703173,1.7788222,1.567835336,1.423716289,1.232471567,1.310564143,1.194772181
DEU,2.96134976,3.041879689,3.034295629,3.026973941,2.926224662,2.867379484,2.790328567,2.772299026,2.64090993,2.532430534,2.518432707,1.997834988,1.860479941,1.693538323,1.550276433,1.495022014,1.46585846,1.409301733,1.390894786,1.395074355,1.358883033,1.323438303,1.327958121,1.316924865,1.268957396,1.065629701,1.199302958,1.172471765,1.209034004,1.310604073,1.266826626
DJI,0.535539602,1.415326001,7.485064011,7.659693166,,,,,,,,6.650884508,6.760028054,6.158737241,5.757444699,5.791646029,5.080478793,5.474986078,5.65087454,5.478089713,5.069101191,,,,5.607179054,4.507756783,4.58763424,2.901074893,2.627582525,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,2.363092523,2.438666392,2.419895025,2.364742876,2.235470726,2.104672107,1.944819237,2.031647483,2.087470632,2.024220137,1.950757035,1.95468015,1.889377285,1.90719767,1.770109883,1.685314665,1.644816658,1.615961205,1.608026388,1.564854723,1.457444051,1.53238072,1.508149852,1.46685125,1.423704234,1.3114885,1.377492014,1.307246829,1.35500459,1.350178625,1.398621787
DOM,1.583543216,1.720128253,1.582040078,1.366505433,1.198895981,1.210052351,1.344154055,1.018139942,0.880047488,0.800367985,0.675729388,0.348155032,0.559086816,0.755070036,0.733765624,0.549477868,0.63365161,0.796926407,0.780062374,0.816243888,1.030096472,1.213496052,1.058919211,0.764145027,0.687618052,0.766536372,0.683423361,0.627619057,0.699861657,0.66746117,0.667531705
DZA,2.102063296,1.818048875,2.063097441,1.951213252,1.755124007,1.643706897,1.787213666,1.856376277,1.749698749,1.540123779,1.461070586,1.210834059,2.14013213,2.505631577,3.146430012,2.935027107,3.094088396,3.637403468,3.965673788,3.755079983,3.433385635,3.820695463,3.700829359,3.251210893,3.283884523,2.83417835,2.643807548,2.923321027,3.024747141,3.848513698,3.518012609
EAP,,,,,,,,,,2.374644405,2.345328673,2.277741582,2.328025858,1.989984971,1.879675311,1.819064474,1.756555946,1.718691494,1.630159806,1.74900045,1.674127185,1.79854996,1.853818317,1.843730556,1.776945742,1.701642709,1.684282073,1.628809398,1.60042283,1.755375309,1.596624195
EAR,4.561339918,4.790395854,5.561559326,5.131841719,5.005987236,4.717430528,3.940084483,4.604434416,4.261093112,3.825171378,3.573559199,3.551877809,3.156438451,2.962387629,2.787809283,2.715350595,2.593824117,2.716044662,2.79365392,2.639061682,2.531705821,2.522810628,2.48334694,2.433923208,2.36804802,2.33300664,2.252382206,2.246575541,2.22892276,2.525772545,2.317978698
EAS,1.741215398,1.763966755,1.85091581,1.764310193,1.722820516,1.713566966,1.527596257,1.505687391,1.473379743,1.581870304,1.597727194,1.55702831,1.565694788,1.48651627,1.433755037,1.398089391,1.431705738,1.442592554,1.407776893,1.407822135,1.350203301,1.416034397,1.453672004,1.454078273,1.434325321,1.449023077,1.476051523,1.478710729,1.472085872,1.574008258,1.485467787
ECA,3.900313297,3.82453187,4.298151312,3.937605205,3.672848474,3.589230401,3.691610485,,,,,,2.681717011,2.766707339,3.007558214,3.041779391,3.228301195,3.345063707,2.838219993,3.291929415,3.142791289,2.963247294,3.124680538,2.796311032,2.397580702,2.2386277,2.222280188,2.201892412,2.13956214,2.225690679,2.038664534
